地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2016/07/19,12:57:50.3,千葉県北東部,35°24.9′N,140°21.1′E,33 km,5.2,震度４
2016/07/17,13:24:02.8,茨城県南部,36°02.3′N,139°55.7′E,42 km,5.0,震度４
2016/07/09,18:05:18.8,有明海,32°44.0′N,130°36.1′E,12 km,4.5,震度４
2016/06/29,23:14:27.6,熊本県熊本地方,32°49.7′N,130°53.6′E,8 km,3.9,震度４
2016/06/25,13:51:57.3,新潟県上越地方,36°49.0′N,137°49.9′E,0 km,4.8,震度４
2016/06/22,05:38:37.1,熊本県熊本地方,32°41.6′N,130°42.6′E,11 km,3.9,震度４
2016/06/21,00:10:08.5,内浦湾,41°55.4′N,140°59.6′E,10 km,4.2,震度４
2016/06/18,20:46:55.2,熊本県熊本地方,32°41.4′N,130°42.4′E,10 km,4.6,震度４
2016/06/16,14:21:28.2,内浦湾,41°56.9′N,140°59.2′E,11 km,5.3,震度６弱
2016/06/13,15:54:18.4,熊本県熊本地方,32°26.6′N,130°40.9′E,7 km,4.1,震度４
2016/06/12,22:08:15.0,熊本県熊本地方,32°26.9′N,130°40.8′E,7 km,4.3,震度５弱
2016/06/12,07:54:23.5,茨城県南部,35°59.8′N,139°55.9′E,40 km,4.8,震度４
2016/05/24,18:48:04.1,岩手県沖,40°04.4′N,142°07.3′E,48 km,4.4,震度４
2016/05/16,21:23:02.2,茨城県南部,36°02.0′N,139°53.2′E,42 km,5.5,震度５弱
2016/05/13,01:03:18.1,熊本県熊本地方,32°42.3′N,130°40.0′E,13 km,4.1,震度４
2016/05/12,17:04:25.9,熊本県熊本地方,32°41.8′N,130°39.9′E,13 km,4.1,震度４
2016/05/05,19:46:37.9,熊本県阿蘇地方,32°59.1′N,131°06.5′E,11 km,3.9,震度４
2016/05/05,10:40:12.8,熊本県阿蘇地方,32°59.5′N,131°07.3′E,11 km,4.9,震度４
2016/05/05,10:31:30.4,熊本県阿蘇地方,33°00.0′N,131°08.0′E,11 km,4.6,震度４
2016/05/04,22:24:17.1,熊本県熊本地方,32°36.6′N,130°43.1′E,5 km,3.5,震度４
2016/05/04,19:20:04.3,熊本県熊本地方,32°48.8′N,130°49.3′E,8 km,4.0,震度４
2016/05/04,07:52:04.7,熊本県熊本地方,32°36.7′N,130°43.2′E,5 km,4.0,震度４
2016/04/29,15:09:34.3,大分県中部,33°15.4′N,131°22.0′E,7 km,4.5,震度５強
2016/04/28,15:30:51.4,有明海,32°45.0′N,130°32.4′E,9 km,4.8,震度４
2016/04/28,12:56:32.5,熊本県熊本地方,32°39.3′N,130°41.7′E,9 km,3.7,震度４
2016/04/28,02:38:05.1,熊本県熊本地方,32°35.2′N,130°40.0′E,10 km,4.1,震度４
2016/04/25,00:44:07.4,熊本県熊本地方,32°39.5′N,130°40.5′E,11 km,4.5,震度４
2016/04/24,22:27:39.6,トカラ列島近海,29°37.1′N,129°45.3′E,8 km,4.2,震度４
2016/04/22,18:28:25.9,熊本県熊本地方,32°42.6′N,130°42.6′E,13 km,3.6,震度４
2016/04/21,18:43:57.3,熊本県阿蘇地方,33°00.4′N,131°13.9′E,11 km,4.2,震度４
2016/04/21,05:16:51.3,大分県中部,33°18.9′N,131°29.2′E,5 km,3.8,震度４
2016/04/20,14:27:43.8,大分県中部,33°18.1′N,131°28.9′E,8 km,3.9,震度４
2016/04/19,20:47:03.3,熊本県熊本地方,32°34.3′N,130°39.1′E,11 km,5.0,震度５弱
